s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,304881,24432240.5,170919,133962,11320856.4,13111384.1,0.560608893,60.35015377,27491393.9,32516867.8,11320856.4,21196011.4
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,354010,31505981.79,141024,212986,9740270.45,21765711.34,0.398361628,66.70311002,34334665.55,45712810.38,9740270.45,35972539.93
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,71959,6489129.25,18374,53585,1514144.65,4974984.6,0.255339846,51.34407782,7185145.8,9240401.66,1514144.65,7726257.01
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,12501,1008352.4,6026,6475,436579.3,571773.1,0.482041437,73.98599537,1145027.15,1487411.72,436579.3,1050832.42
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,46799,5033681.48,6945,39854,563202.95,4470478.53,0.148400607,83.11547247,5036826.15,8346165.52,563202.95,7782962.57
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Other Allied Health,37,3047.4,8,29,581.3,2466.1,0.216216216,55.81724138,3288.15,4666.1,581.3,4084.8
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,8914626,804544867.9,2608035,6306591,226296628.8,578248239.1,0.292556861,110.4452276,886586642.4,1392109925,226296628.8,1165813296
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,3073798,286621528.7,993739,2080059,88883553.9,197737974.8,0.323293528,117.7979972,311901307,497468165.9,88883553.9,408584612
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,2497746,227384388.7,758558,1739188,67472461.1,159911927.6,0.303697013,104.2612881,253099729.1,379691295.4,67472461.1,312218834.3
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,1680159,149143129.8,431699,1248460,35424261.55,113718868.3,0.256939373,111.2650782,163512269.1,264051452.4,35424261.55,228627190.8
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,631725,52862808.66,195673,436052,15952320,36910488.66,0.309743955,89.7244846,59969282.38,87448512.46,15952320,71496192.46
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,722357,60784506.38,145913,576444,11366417.15,49418089.23,0.201995689,114.0414678,67984768.41,114238420.1,11366417.15,102872002.9
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,156516,12959451.35,42942,113574,3671850.55,9287600.8,0.274361727,92.65945328,14672396.95,21769393.99,3671850.55,18097543.44
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,28294,2441764.7,8617,19677,750400.75,1691363.95,0.304552202,113.8117952,2780024.04,4322652.9,750400.75,3572252.15
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,123888,12335051.06,30843,93045,2771366.25,9563684.81,0.248958737,130.8748395,12653118.3,23098161.16,2771366.25,20326794.91
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Specialist Attendances,143,12238.5,51,92,3997.55,8240.95,0.356643357,113.0977612,13747.1,21870.45,3997.55,17872.9
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,404004,45344423.7,212959,191045,11192853.9,34151569.8,0.527121019,308.4637284,49371793.58,116938256.2,11192853.9,105745402.3
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,138796,16242827.9,74520,64276,3966843.15,12275984.75,0.536903081,370.3087357,17554259.15,43942819.59,3966843.15,39975976.44
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,105507,11477786.05,72238,33269,3641419.7,7836366.35,0.68467495,529.8497867,12723755.71,30879604.08,3641419.7,27238184.38
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,77369,8351611.1,31925,45444,1700792.85,6650818.25,0.412632967,168.6269681,9074682.77,19226945.45,1700792.85,17526152.6
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,25005,2888161.9,10854,14151,645742.15,2242419.75,0.434073185,213.1113816,3145802.35,6837166.34,645742.15,6191424.19
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,43922,4914316.1,17791,26131,979460.3,3934855.8,0.405058968,196.730967,5290332.85,11977085.04,979460.3,10997624.74
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,5998,731330.45,2549,3449,121319.55,610010.9,0.424974992,250.3212012,799917.15,1856234.92,121319.55,1734915.37
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,2788,194142.3,1920,868,73925.5,120216.8,0.68866571,186.1885209,215726.7,368445.22,73925.5,294519.72
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,4614,544029.7,1157,3457,63132.5,480897.2,0.250758561,339.6699812,567060.45,1849737.33,63132.5,1786604.83
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Obstetrics,5,218.2,5,0,218.2,0,1,-,256.45,218.2,218.2,0
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,1053434,154910065.4,100461,952973,10946137.35,143963928.1,0.095365253,206.6521118,199671415.2,396079413.7,10946137.35,385133276.3
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,333935,50334688.8,35593,298342,3785774.25,46548914.55,0.106586611,182.5519964,65457840.2,131842983.5,3785774.25,128057209.2
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,262559,38289719.5,24585,237974,2555630.55,35734088.95,0.093636097,231.5840236,48163501.3,97875323.08,2555630.55,95319692.53
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,221474,32259230.36,29328,192146,3292682.4,28966547.96,0.132421864,166.4888693,41807753.95,81836295.21,3292682.4,78543612.81
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,82602,11553783.05,5282,77320,665894.7,10887888.35,0.063945183,157.9071847,15237939.55,27753962.6,665894.7,27088067.9
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,113309,16745765.29,4199,109110,477140.55,16268624.74,0.037057957,369.5647321,21480412.7,40975873.38,477140.55,40498732.83
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,20733,3044239.88,525,20208,63041.5,2981198.38,0.025321951,79.03803191,4023623.6,7814430.02,63041.5,7751388.52
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,4018,592506.15,183,3835,24016.4,568489.75,0.045545047,124.2745652,782913.7,1507784.28,24016.4,1483767.88
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,14788,2087797.79,764,14024,81721.95,2006075.84,0.051663511,231.2571776,2714354.85,6466737.22,81721.95,6385015.27
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Anaesthetics,16,2334.6,2,14,235.05,2099.55,0.125,-,3075.3,6024.4,235.05,5789.35
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,40670380,899447965.1,36283001,4387379,802283974.9,97163990.25,0.892123482,23.61741681,1067696773,961946335.3,799810996.2,162135339.1
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,13852827,308588177.8,12221438,1631389,274307582.1,34280595.73,0.882234218,24.39203642,366273093.7,328585842.8,273340801.6,55245041.25
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,10248618,221734782,9126649,1121969,197039701.3,24695080.73,0.890524849,24.50051532,263315387.6,238638666.5,196461443.4,42177223.14
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,8196967,187318612.5,7441321,755646,169106125.8,18212486.72,0.907813951,21.56256899,222242053.7,199985323.3,168665707.1,31319616.29
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,2772245,57730182.02,2443011,329234,50580227.65,7149954.37,0.881239212,23.60036261,68622279.32,61898714.94,50368032.35,11530682.59
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,3854632,85919934.48,3440379,414253,76776283.95,9143650.53,0.892531116,24.80354302,102061006.2,92218509.55,76588443.05,15630066.5
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,867694,18466868.07,797430,70264,16642806.3,1824061.77,0.919022144,26.23907416,21917965.1,19702102.5,16607242.15,3094860.35
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,270620,6062486.1,262681,7939,5815880.1,246606,0.970663661,46.63206897,7140927.8,6196596.24,5800644.55,395951.69
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,606239,13615703.55,549623,56616,12005792.15,1609911.4,0.906611089,17.80874168,16110621.95,14708057.58,11969106.45,2738951.13
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Total Pathology,538,11218.65,469,69,9575.65,1643,0.871747212,0.65,13437.8,12521.77,9575.65,2946.12
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,7759749,1252025040,5925940,1833809,973715435.7,278309604.5,0.763676763,121.5730396,1349581089,1457077739,973715435.7,483362303.7
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,2688148,439451294.2,2084252,603896,344509391.9,94941902.38,0.775348679,116.5619123,474562242.9,500798236.7,344509391.9,156288844.9
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,1920002,302133972.9,1470407,449595,237036694.3,65097278.67,0.765836181,123.8223106,324689688.2,354228395.2,237036694.3,117191701
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,1603187,258810735.9,1216410,386777,200473500.8,58337235.06,0.758744925,121.3355935,278395677.2,304007224.8,200473500.8,103533724
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,517449,84319355.47,384723,132726,62957271.65,21362083.82,0.743499359,136.3292561,91446971.72,100632495.1,62957271.65,37675223.45
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,767085,124586663.8,595772,171313,99274027.85,25312635.93,0.776670121,113.9169741,134266676.7,143713342,99274027.85,44439314.1
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,128090,19975458.32,84865,43225,13782839.5,6192618.82,0.662541963,121.3082596,21841563.43,24719773.74,13782839.5,10936934.24
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,39479,5958497.39,33473,6006,5097232.9,861264.49,0.847868487,145.327135,6356250.15,6767727.36,5097232.9,1670494.46
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,96190,16762720.37,55952,40238,10562614.25,6200106.12,0.581682088,138.957981,17993887.6,22180440.75,10562614.25,11617826.5
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Diagnostic Imaging,119,26341.9,86,33,21862.65,4479.25,0.722689076,116.1534483,28131.4,30103.7,21862.65,8241.05
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,3020955,630193882.5,1030469,1990486,117965698.1,512228184.4,0.341107034,104.2575049,781708488.1,1314378270,117965698.1,1196412572
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,996019,212647473.5,373217,622802,44893181.3,167754292.2,0.374708715,113.4558663,259597320.6,454758637.2,44893181.3,409865455.9
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,632695,141591002.9,166377,466318,21057689.9,120533313,0.262965568,109.7341276,178391794.9,293481044.2,21057689.9,272423354.3
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,762538,139085134.1,324433,438105,33613427.85,105471706.3,0.425464698,98.55988432,170633069.5,286865234.5,33613427.85,253251806.6
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,203044,46028030.92,58414,144630,7047451.55,38980579.37,0.287691338,81.02019383,58722053.62,89029496.32,7047451.55,81982044.77
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,312701,64923432.67,83525,229176,8301801.65,56621631.02,0.267108196,90.47282214,82176665.45,131233808.9,8301801.65,122932007.3
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,61635,13989193.6,11983,49652,1504661.75,12484531.85,0.194418756,71.60936006,17843872.54,28476142.66,1504661.75,26971480.91
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,13301,2605553.32,5342,7959,584660.3,2020893.02,0.401623938,99.20112578,3297917.45,5595359.97,584660.3,5010699.67
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,38988,9315100,7171,31817,962011.05,8353088.95,0.183928388,152.663884,11035415.25,24914738.93,962011.05,23952727.88
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Total Operations,34,8961.5,7,27,812.75,8148.75,0.205882353,77.60555556,10378.8,23807.05,812.75,22994.3
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,2728950,141067118.6,2571875,157075,132819857.3,8247261.36,0.942441232,35.64449944,165416933.6,146665978.4,132819857.3,13846121.11
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,868649,44858139.31,829854,38795,42800599.65,2057539.66,0.955338693,33.58265447,52637550.65,46160978.39,42800599.65,3360378.74
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,694307,36018128.15,647027,47280,33485626.25,2532501.9,0.931903322,36.17345812,42205777.6,37728409.25,33485626.25,4242783
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,591410,30433572.6,555008,36402,28577658.1,1855914.5,0.938448792,33.81535383,35672862.9,31664519.11,28577658.1,3086861.01
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,201462,10437579.55,192286,9176,9961825.05,475754.5,0.954452949,35.56153008,12256780.05,10763892.15,9961825.05,802067.1
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,248639,12886219.2,233884,14755,12122285.8,763933.4,0.940656936,42.45556489,15118495.55,13512651.06,12122285.8,1390365.26
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,60044,3099643.75,56354,3690,2909218.4,190425.35,0.938545067,28.74239024,3642142.05,3205703.17,2909218.4,296484.77
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,18290,943669.3,17988,302,928944.3,14725,0.983488245,42.52301325,1109099.8,956511.25,928944.3,27566.95
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,46115,2388284.4,39442,6673,2031961.75,356322.65,0.855296541,42.42822269,2772071.4,2671407.93,2031961.75,639446.18
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Optometry,34,1882.35,32,2,1737.95,144.4,0.941176471,11.85,2153.55,1906.05,1737.95,168.1
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,688876,186757245.2,538178,150698,131276595.8,55480649.4,0.781240746,67.13335238,178625679.2,197768348.7,131276595.8,66491752.94
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,213260,56190046.15,173244,40016,41196866.7,14993179.45,0.812360499,65.02925338,55248902.8,59005437.73,41196866.7,17808571.03
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,154177,41764549.15,120201,33976,29522682.95,12241866.2,0.779629906,66.14723651,40496032,44409788.06,29522682.95,14887105.11
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,158190,44560297.3,114645,43545,28513241.1,16047056.2,0.724729755,70.52703755,40083262.7,47878910.3,28513241.1,19365669.2
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,46920,12952383.05,34863,12057,8970266.85,3982116.2,0.743030691,57.28466993,12518723.8,13654501.05,8970266.85,4684234.2
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80874,21184745.25,66782,14092,15268112.2,5916633.05,0.825753641,77.13285164,20350091.8,22277604.9,15268112.2,7009492.7
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,18743,4396823.65,14219,4524,3036410.9,1360412.75,0.758629888,52.94035869,4246550.75,4658580.3,3036410.9,1622169.4
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,4354,1029613.35,4213,141,988357.25,41256.1,0.967615985,61.86130435,1130249,1037619.2,988357.25,49261.95
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,12356,4678554.05,10009,2347,3780424.6,898129.45,0.810051797,71.44597403,4551591.95,4845673.95,3780424.6,1065249.35
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,2,233.25,2,0,233.25,0,1,-,274.4,233.25,233.25,0
Australia,AU,Australia,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,3191420,489105483.5,1912463,1278957,305662288.3,183443195.2,0.59925143,130.6592456,536415513.9,624529362.2,305662288.3,318867073.9
New South Wales,NSW,NSW,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,1066307,165764715.5,656911,409396,105830926.2,59933789.32,0.616061791,138.2341916,183449546.3,210514404.9,105830926.2,104683478.7
Victoria,VIC,Vic,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,755658,122844382.7,482497,273161,76250808.85,46593573.81,0.638512396,167.9111297,132078133.2,157680475,76250808.85,81429666.17
Queensland,QLD,Qld,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,675616,99732314.87,381936,293680,63511967,36220347.87,0.565315209,114.6475397,110086183.1,126637800.8,63511967,63125833.77
South Australia,SA,SA,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,233340,35061976.05,124290,109050,20676732.45,14385243.6,0.53265621,100.1452425,38792940.6,45020160.38,20676732.45,24343427.93
Western Australia,WA,WA,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,330029,44036701.65,190862,139167,25981273.5,18055428.15,0.578318875,104.2006948,48772062.55,57260349.5,25981273.5,31279076
Tasmania,TAS,Tas,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,64305,10544815.29,35162,29143,6805972.2,3738843.09,0.546800404,76.05881948,11719844,12625424.78,6805972.2,5819452.58
Northern Territory,NT,NT,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,18536,4402770.85,14516,4020,3458896.35,943874.5,0.78312473,229.340873,4635018.85,5167401.74,3458896.35,1708505.39
Australian Capital Territory,ACT,ACT,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,47596,6713954.97,26276,21320,3143717.6,3570237.37,0.552063199,149.2090479,6877447.2,9618488.35,3143717.6,6474770.75
Unknown,UNK,Unk,1/9/2023,2023-24 Q1 (Sep Qtr),Other MBS Services,33,3851.6,13,20,1994.15,1857.45,0.393939394,52.38,4338.25,4856.75,1994.15,2862.6
Australia,AU,Australia,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,114969731,6874089083,86861861,28107870,4505448037,2368641046,0.75551939,76.26781091,7541854675,9364900473,4503204065,4861696408
New South Wales,NSW,NSW,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,38135136,2296080972,29421758,8713378,1548440327,747640644.8,0.771513126,83.92457327,2518698521,3117284470,1547614582,1569669888
Victoria,VIC,Vic,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,30210759,1789743749,22875097,7335662,1172224776,617518973,0.75718379,76.71875457,1961450988,2424939641,1171692791,1253246850
Queensland,QLD,Qld,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,23168595,1397829997,17420827,5747768,916743238.3,481086758.7,0.751915556,72.83332266,1530579895,1908842626,916305620.7,992537005.1
South Australia,SA,SA,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,7965596,468387066.2,5852652,2112944,294339118.8,174047947.5,0.734741255,62.57876731,518676417.6,626172507.9,294152683.9,332019823.9
Western Australia,WA,WA,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,10806920,652041477,7925599,2881321,411578842.1,240462635,0.733381852,71.86366846,716746580.7,897940700.8,411401226.4,486539474.4
Tasmania,TAS,Tas,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,2314566,132347072,1681890,632676,80635684.45,51711387.53,0.726654587,64.80366976,147086863.8,183096801.1,80599190.5,102497610.6
Northern Territory,NT,NT,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,696832,40832564.34,568156,128676,30712765.35,10119798.99,0.815341431,64.88758123,44154262.7,51843753.74,30697312.95,21146440.79
Australian Capital Territory,ACT,ACT,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,1669625,96698757.56,1114749,554876,50710572.45,45988185.11,0.667664296,83.06118457,104335205.4,154601984.6,50678191.1,103923793.5
Unknown,UNK,Unk,1/6/2023,2022-23 Q4 (Jun Qtr),Total Medicare,1702,127427.85,1133,569,62712.45,64715.4,0.665687427,108.4680519,125940.5,177988.16,62466.95,115521.21
Australia,AU,Australia,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,43128698,2211366612,33979722,9148976,1766986334,444380278.5,0.787868022,43.34815686,2209638875,2607284548,1766986334,840298214.8
New South Wales,NSW,NSW,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,14140323,722867923.2,11758490,2381833,606432100.6,116435822.6,0.831557384,43.37772182,722408510.9,825912000,606432100.6,219479899.4
Victoria,VIC,Vic,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,11745284,594335398.3,9358956,2386328,477805125.5,116530272.8,0.796826709,43.76210764,594019551.9,698599349,477805125.5,220794223.5
Queensland,QLD,Qld,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,8638392,451233856.8,6645177,1993215,354237339.2,96996517.66,0.769260876,44.01826167,450452347.9,538793422.9,354237339.2,184556083.7
South Australia,SA,SA,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,2889269,148060323.8,2149953,739316,112478835.4,35581488.4,0.744116591,35.82037743,148197039.7,174540962.2,112478835.4,62062126.81
Western Australia,WA,WA,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,4000966,204846054.3,2942267,1058699,154923971.6,49922082.78,0.735389154,43.37317329,204828621.2,250731521.9,154923971.6,95807550.36
Tasmania,TAS,Tas,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,845947,43776772.14,594016,251931,31408720.95,12368051.19,0.702190563,48.42873433,43852889.45,55962259.05,31408720.95,24553538.1
Northern Territory,NT,NT,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,262858,15568741.7,191002,71856,12167107.65,3401634.05,0.726635674,39.44190264,15577200.3,18403135.03,12167107.65,6236027.38
Australian Capital Territory,ACT,ACT,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,605168,30650653.65,339511,265657,17513889.35,13136764.3,0.561019419,51.4131539,30276332.2,44308412.92,17513889.35,26794523.57
Unknown,UNK,Unk,1/6/2023,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,491,26888.1,350,141,19243.4,7644.7,0.712830957,46.7893617,26381.8,33485.4,19243.4,14242
Australia,AU,Australia,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,742795,11156599.15,727083,15712,10427980.95,728618.2,0.978847461,18.37638047,10842300.75,11445328.84,10427980.95,1017347.89
New South Wales,NSW,NSW,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,226678,3266348.95,223229,3449,3130728.6,135620.35,0.984784584,17.31301537,3215560.4,3326061.54,3130728.6,195332.94
Victoria,VIC,Vic,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,140046,1958600.5,136543,3503,1779671.65,178928.85,0.97498679,21.11384528,1879309.7,2032562.3,1779671.65,252890.65
Queensland,QLD,Qld,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,179847,2949027.9,174097,5750,2614341.35,334686.55,0.96802838,22.35177391,2785842.45,3077550.6,2614341.35,463209.25
South Australia,SA,SA,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,60049,805325.15,58739,1310,786829.9,18495.25,0.978184483,2.082633588,807464.3,808053.4,786829.9,21223.5
Western Australia,WA,WA,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,81793,1208786.45,81062,731,1199303.65,9482.8,0.991062805,4.843023256,1209690.95,1212326.7,1199303.65,13023.05
Tasmania,TAS,Tas,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,23158,334394.05,22422,736,296442.05,37952,0.968218326,19.63199728,316806.15,348843.2,296442.05,52401.15
Northern Territory,NT,NT,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,26729,572986.55,26552,177,561100.65,11885.9,0.993377979,30.76581921,567056.35,578432.1,561100.65,17331.45
Australian Capital Territory,ACT,ACT,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,4490,61066.1,4434,56,59499.6,1566.5,0.98752784,6.596428571,60506.95,61435.5,59499.6,1935.9
Unknown,UNK,Unk,1/6/2023,2022-23 Q4 (Jun Qtr),Practice Nurse,5,63.5,5,0,63.5,0,1,-,63.5,63.5,63.5,0
Australia,AU,Australia,1/6/2023,2022-23 Q4 (Jun Qtr),Other Allied Health,4032532,324276817.3,1849296,2183236,123840579,200436238.3,0.458594253,69.1129021,366217289.6,475166593.2,123840579,351326014.3
